skills,education_level,years_experience,previous_job_title,current_job_title,expected_salary,location,employment_type
"Scikit-learn, Docker, Python, Keras, TensorFlow",Bachelors,9,BI Analyst,ML Engineer,25,Mumbai,Contract
"Tableau, Power BI, Python",Masters,0,Data Analyst,Data Analyst,14,Hyderabad,Contract
"Excel, SQL, Tableau, Power BI",Bachelors,9,Data Scientist,BI Analyst,12,Bangalore,Contract
"Keras, Docker, Scikit-learn",PhD,4,Data Scientist,ML Engineer,21,Hyderabad,Internship
"Scikit-learn, Python, TensorFlow, Docker, Keras",Bachelors,6,ML Engineer,ML Engineer,16,Mumbai,Full-time
"Pandas, Machine Learning, SQL",Masters,8,ML Engineer,Data Scientist,11,Remote,Internship
"Machine Learning, R, SQL, Python",Masters,2,Data Analyst,Data Scientist,23,Remote,Contract
"Scikit-learn, Keras, TensorFlow, Docker",Masters,2,BI Analyst,ML Engineer,19,Delhi,Contract
"R, Machine Learning, Python, Pandas, SQL",PhD,2,ML Engineer,Data Scientist,21,Remote,Internship
"Pandas, SQL, R, Python, Machine Learning",Bachelors,2,Data Analyst,Data Scientist,15,Delhi,Contract
"Java, Python, React",Masters,0,Software Developer,Software Developer,15,Hyderabad,Contract
"R, SQL, Pandas, Python",PhD,6,BI Analyst,Data Scientist,10,Delhi,Full-time
"R, SQL, Pandas, Python",Masters,3,Software Developer,Data Scientist,15,Hyderabad,Contract
"Pandas, Python, R",Bachelors,4,ML Engineer,Data Scientist,24,Hyderabad,Full-time
"Docker, Python, Keras, TensorFlow",Bachelors,9,Data Scientist,ML Engineer,12,Remote,Full-time
"Python, TensorFlow, Scikit-learn, Keras, Docker",Bachelors,3,Software Developer,ML Engineer,21,Remote,Internship
"Python, Machine Learning, SQL, R, Pandas",Bachelors,10,Data Scientist,Data Scientist,20,Mumbai,Full-time
"ETL, Excel, SQL, Power BI",Masters,8,BI Analyst,BI Analyst,15,Delhi,Contract
"Excel, Python, SQL",Bachelors,10,ML Engineer,Data Analyst,15,Remote,Contract
"SQL, Power BI, ETL, Tableau, Excel",Bachelors,1,Data Analyst,BI Analyst,6,Hyderabad,Internship
"Tableau, ETL, Power BI, Excel",Bachelors,10,Data Analyst,BI Analyst,16,Bangalore,Contract
"Python, SQL, Pandas",Bachelors,10,Software Developer,Data Scientist,24,Mumbai,Internship
"Excel, Power BI, Python, Tableau",Masters,8,Software Developer,Data Analyst,15,Delhi,Full-time
"R, Python, Pandas, SQL, Machine Learning",Masters,1,Software Developer,Data Scientist,30,Remote,Full-time
"TensorFlow, Keras, Python",Bachelors,10,Data Scientist,ML Engineer,24,Delhi,Contract
"Python, Excel, SQL, Tableau",PhD,5,ML Engineer,Data Analyst,15,Bangalore,Full-time
"Git, Python, React, C++",Masters,2,Data Scientist,Software Developer,18,Hyderabad,Full-time
"C++, Git, React",Masters,2,Software Developer,Software Developer,13,Mumbai,Contract
"Power BI, Python, Excel",Masters,2,Data Scientist,Data Analyst,8,Bangalore,Full-time
"Python, Pandas, SQL, Machine Learning, R",Masters,8,Data Scientist,Data Scientist,17,Remote,Contract
"Git, Java, C++",Bachelors,0,ML Engineer,Software Developer,18,Mumbai,Full-time
"Docker, TensorFlow, Keras, Scikit-learn, Python",Bachelors,7,ML Engineer,ML Engineer,18,Hyderabad,Contract
"Git, React, Java, Python",PhD,5,Data Analyst,Software Developer,19,Remote,Contract
"Pandas, Machine Learning, R",Masters,1,Data Scientist,Data Scientist,26,Mumbai,Internship
"Git, Java, Python, React",Bachelors,3,Data Analyst,Software Developer,9,Hyderabad,Internship
"Python, R, Pandas, SQL, Machine Learning",Bachelors,7,BI Analyst,Data Scientist,23,Bangalore,Full-time
"Power BI, Excel, Python",Masters,0,Data Scientist,Data Analyst,7,Remote,Internship
"Python, SQL, Machine Learning, Pandas, R",Masters,7,BI Analyst,Data Scientist,29,Hyderabad,Contract
"Docker, Keras, Python, TensorFlow, Scikit-learn",Masters,1,ML Engineer,ML Engineer,22,Hyderabad,Contract
"Pandas, R, SQL, Python, Machine Learning",Bachelors,9,Data Scientist,Data Scientist,14,Remote,Contract
"Tableau, Power BI, Excel, Python, SQL",Bachelors,7,BI Analyst,Data Analyst,10,Mumbai,Full-time
"Power BI, Tableau, Excel, Python",Bachelors,0,Data Scientist,Data Analyst,13,Hyderabad,Contract
"Python, Java, Git, C++",Masters,4,Software Developer,Software Developer,15,Delhi,Contract
"Tableau, ETL, SQL",Bachelors,8,BI Analyst,BI Analyst,10,Hyderabad,Contract
"Excel, Tableau, SQL, Python, Power BI",Bachelors,6,Software Developer,Data Analyst,13,Bangalore,Full-time
"Docker, Scikit-learn, Python, Keras",Bachelors,5,Data Analyst,ML Engineer,11,Remote,Contract
"Machine Learning, Python, Pandas, R",Bachelors,3,Data Scientist,Data Scientist,29,Remote,Contract
"TensorFlow, Python, Docker, Scikit-learn, Keras",PhD,1,Software Developer,ML Engineer,21,Remote,Full-time
"Python, Machine Learning, SQL",Bachelors,8,Data Scientist,Data Scientist,17,Remote,Full-time
"ETL, SQL, Power BI, Tableau",Bachelors,1,Data Scientist,BI Analyst,6,Delhi,Contract
"Pandas, Machine Learning, SQL, R",Masters,5,BI Analyst,Data Scientist,10,Mumbai,Full-time
"Git, C++, Python",Masters,5,BI Analyst,Software Developer,17,Hyderabad,Internship
"SQL, Python, Power BI, Tableau",Bachelors,5,ML Engineer,Data Analyst,14,Mumbai,Contract
"TensorFlow, Keras, Python",Bachelors,3,Data Scientist,ML Engineer,14,Bangalore,Contract
"SQL, ETL, Power BI, Excel, Tableau",Bachelors,9,Software Developer,BI Analyst,13,Mumbai,Full-time
"Python, Pandas, R",PhD,0,Data Scientist,Data Scientist,15,Mumbai,Full-time
"SQL, Python, Pandas, Machine Learning",Bachelors,1,Software Developer,Data Scientist,18,Hyderabad,Internship
"Excel, ETL, SQL, Power BI, Tableau",Bachelors,5,Software Developer,BI Analyst,7,Hyderabad,Contract
"Keras, TensorFlow, Docker",Bachelors,6,ML Engineer,ML Engineer,14,Hyderabad,Internship
"ETL, Excel, Power BI",Bachelors,8,Data Scientist,BI Analyst,16,Bangalore,Full-time
"Java, Git, Python, C++",Bachelors,5,Data Scientist,Software Developer,11,Bangalore,Internship
"Machine Learning, R, Pandas",Bachelors,10,Data Scientist,Data Scientist,22,Remote,Internship
"Power BI, ETL, Excel, Tableau, SQL",Masters,9,BI Analyst,BI Analyst,10,Delhi,Internship
"Python, Git, C++, React, Java",Masters,8,BI Analyst,Software Developer,8,Hyderabad,Contract
"Keras, Python, Scikit-learn, Docker, TensorFlow",Bachelors,1,BI Analyst,ML Engineer,11,Remote,Full-time
"Power BI, Excel, Python, Tableau",Bachelors,3,Software Developer,Data Analyst,12,Bangalore,Full-time
"Git, React, Python, C++",Masters,2,Data Scientist,Software Developer,16,Remote,Internship
"Machine Learning, SQL, R, Pandas, Python",Masters,7,Software Developer,Data Scientist,19,Bangalore,Full-time
"SQL, Machine Learning, R",Masters,7,BI Analyst,Data Scientist,19,Remote,Full-time
"SQL, Excel, Tableau, Power BI, Python",Bachelors,10,BI Analyst,Data Analyst,11,Hyderabad,Contract
"SQL, Machine Learning, Pandas, R, Python",Bachelors,1,ML Engineer,Data Scientist,24,Remote,Internship
"React, Git, Java, C++, Python",Bachelors,8,Data Analyst,Software Developer,10,Mumbai,Contract
"Python, Excel, Power BI",Bachelors,5,BI Analyst,Data Analyst,9,Delhi,Full-time
"Keras, Scikit-learn, Python",Masters,2,ML Engineer,ML Engineer,22,Hyderabad,Internship
"SQL, Power BI, Tableau",Masters,1,Data Scientist,BI Analyst,11,Delhi,Full-time
"Power BI, Python, Excel, SQL, Tableau",Bachelors,0,ML Engineer,Data Analyst,6,Bangalore,Full-time
"Java, Git, React, Python, C++",Masters,7,Data Scientist,Software Developer,18,Hyderabad,Internship
"Power BI, SQL, Tableau, Python, Excel",Bachelors,2,Data Scientist,Data Analyst,6,Remote,Contract
"C++, Java, Python, React",Bachelors,2,Software Developer,Software Developer,17,Delhi,Contract
"ETL, Power BI, Excel",Bachelors,7,Software Developer,BI Analyst,13,Mumbai,Internship
"Python, Git, Java, C++, React",Masters,9,Software Developer,Software Developer,11,Remote,Internship
"Scikit-learn, TensorFlow, Keras, Docker, Python",Bachelors,5,Data Analyst,ML Engineer,12,Hyderabad,Full-time
"Scikit-learn, TensorFlow, Python",Bachelors,10,BI Analyst,ML Engineer,25,Delhi,Full-time
"React, Java, Git",PhD,3,BI Analyst,Software Developer,18,Delhi,Contract
"SQL, Excel, Tableau, ETL",Masters,4,Data Analyst,BI Analyst,16,Remote,Internship
"Docker, TensorFlow, Keras",Masters,2,Data Scientist,ML Engineer,23,Remote,Internship
"Tableau, SQL, ETL, Excel, Power BI",Masters,10,ML Engineer,BI Analyst,10,Remote,Internship
"Git, Python, React, Java",Masters,3,BI Analyst,Software Developer,11,Mumbai,Full-time
"Power BI, Python, SQL, Tableau",PhD,4,Data Analyst,Data Analyst,9,Bangalore,Contract
"React, C++, Java, Python, Git",Bachelors,2,Software Developer,Software Developer,9,Bangalore,Contract
"Power BI, SQL, Excel, ETL, Tableau",Bachelors,9,Data Analyst,BI Analyst,16,Mumbai,Full-time
"SQL, Tableau, Excel, Python",Masters,3,Data Scientist,Data Analyst,5,Bangalore,Internship
"R, SQL, Pandas, Python, Machine Learning",Bachelors,6,BI Analyst,Data Scientist,19,Mumbai,Full-time
"Python, Scikit-learn, Keras, Docker",Masters,4,Data Analyst,ML Engineer,23,Hyderabad,Internship
"Pandas, Machine Learning, SQL",Masters,8,Data Scientist,Data Scientist,18,Mumbai,Internship
"Python, Pandas, R",Bachelors,3,Software Developer,Data Scientist,15,Delhi,Contract
"Power BI, Tableau, SQL, Excel, ETL",Masters,2,Data Analyst,BI Analyst,14,Delhi,Full-time
"Java, Python, C++, Git, React",Bachelors,8,ML Engineer,Software Developer,14,Hyderabad,Contract
"Power BI, Python, Excel, Tableau",Bachelors,3,Data Scientist,Data Analyst,9,Bangalore,Internship
"Python, Java, Git, C++, React",Bachelors,6,Data Scientist,Software Developer,13,Remote,Full-time
"Docker, Scikit-learn, Keras",PhD,0,Data Analyst,ML Engineer,19,Hyderabad,Full-time
"Python, React, Git, C++, Java",PhD,8,Software Developer,Software Developer,20,Remote,Internship
"Keras, Scikit-learn, Docker",Bachelors,6,Data Scientist,ML Engineer,17,Hyderabad,Internship
"Python, Git, React, Java, C++",Masters,9,Data Scientist,Software Developer,19,Remote,Full-time
"ETL, Power BI, Tableau",Bachelors,8,Data Analyst,BI Analyst,7,Delhi,Internship
"Tableau, Excel, SQL, ETL",Bachelors,2,Data Analyst,BI Analyst,14,Hyderabad,Contract
"Python, Keras, Docker",Masters,7,ML Engineer,ML Engineer,25,Hyderabad,Internship
"Power BI, ETL, SQL, Excel",Bachelors,0,Software Developer,BI Analyst,15,Hyderabad,Full-time
"Docker, Scikit-learn, Keras, TensorFlow",Masters,3,BI Analyst,ML Engineer,11,Delhi,Internship
"Machine Learning, Python, SQL, Pandas, R",Bachelors,0,ML Engineer,Data Scientist,27,Mumbai,Contract
"SQL, Tableau, Excel",Masters,4,BI Analyst,Data Analyst,7,Remote,Full-time
"Tableau, SQL, Excel, ETL, Power BI",Masters,8,ML Engineer,BI Analyst,12,Hyderabad,Internship
"R, Pandas, Python, Machine Learning, SQL",Masters,2,Data Analyst,Data Scientist,30,Delhi,Full-time
"Pandas, R, Machine Learning, SQL, Python",Masters,5,Data Scientist,Data Scientist,14,Hyderabad,Contract
"SQL, Power BI, Tableau, Excel",Bachelors,2,Data Analyst,Data Analyst,7,Bangalore,Internship
"ETL, SQL, Excel, Power BI",Bachelors,9,BI Analyst,BI Analyst,6,Remote,Full-time
"Keras, TensorFlow, Python, Docker, Scikit-learn",Bachelors,5,Data Analyst,ML Engineer,11,Delhi,Internship
"Python, Tableau, Power BI",Bachelors,4,Data Scientist,Data Analyst,15,Delhi,Full-time
"SQL, Power BI, Excel, Python",Masters,8,Data Analyst,Data Analyst,9,Delhi,Contract
"Power BI, ETL, Excel, SQL, Tableau",Masters,10,Data Scientist,BI Analyst,16,Delhi,Internship
"SQL, Machine Learning, Python, R",Masters,10,BI Analyst,Data Scientist,17,Delhi,Full-time
"Python, Tableau, SQL",Masters,3,Data Scientist,Data Analyst,11,Remote,Contract
"TensorFlow, Keras, Docker",Masters,4,Software Developer,ML Engineer,20,Delhi,Internship
"ETL, SQL, Tableau, Excel, Power BI",Masters,10,BI Analyst,BI Analyst,7,Hyderabad,Contract
"Excel, Tableau, Power BI, SQL, ETL",Masters,10,Software Developer,BI Analyst,14,Delhi,Full-time
"Python, Keras, TensorFlow, Docker",Masters,6,ML Engineer,ML Engineer,13,Delhi,Contract
"Tableau, Python, Excel, Power BI",Bachelors,4,ML Engineer,Data Analyst,13,Bangalore,Full-time
"Power BI, Python, Excel, Tableau",Bachelors,7,Data Scientist,Data Analyst,9,Remote,Contract
"Python, Scikit-learn, TensorFlow",Masters,8,Data Analyst,ML Engineer,19,Bangalore,Internship
"SQL, Excel, ETL",Masters,4,ML Engineer,BI Analyst,9,Remote,Internship
"SQL, Excel, ETL, Tableau, Power BI",Bachelors,9,Data Scientist,BI Analyst,13,Remote,Internship
"Python, C++, Java",Bachelors,9,Software Developer,Software Developer,6,Mumbai,Contract
"Tableau, Python, Power BI",Bachelors,2,Data Scientist,Data Analyst,14,Delhi,Full-time
"Pandas, R, Python",Masters,7,Data Analyst,Data Scientist,24,Mumbai,Full-time
"Docker, Keras, TensorFlow",Bachelors,10,Software Developer,ML Engineer,24,Mumbai,Full-time
"Git, C++, React, Python",Masters,2,Data Scientist,Software Developer,19,Delhi,Contract
"Power BI, Tableau, Excel, SQL",Bachelors,3,Data Scientist,Data Analyst,7,Hyderabad,Contract
"Pandas, SQL, Machine Learning, Python",Bachelors,10,Data Analyst,Data Scientist,29,Mumbai,Internship
"Pandas, R, Machine Learning",PhD,1,Data Scientist,Data Scientist,30,Bangalore,Full-time
"Docker, Python, Scikit-learn",Masters,7,Data Scientist,ML Engineer,22,Hyderabad,Full-time
"React, Python, C++, Git",PhD,9,Data Analyst,Software Developer,19,Bangalore,Internship
"Python, SQL, Machine Learning",Masters,0,ML Engineer,Data Scientist,22,Mumbai,Internship
"Power BI, ETL, Tableau, SQL, Excel",Masters,5,BI Analyst,BI Analyst,15,Hyderabad,Full-time
"Python, Excel, SQL, Tableau, Power BI",PhD,2,Data Analyst,Data Analyst,7,Mumbai,Contract
"Docker, Scikit-learn, Keras, TensorFlow",Bachelors,3,ML Engineer,ML Engineer,10,Remote,Internship
"ETL, Excel, SQL, Tableau, Power BI",Masters,1,Data Scientist,BI Analyst,16,Delhi,Internship
"Machine Learning, Python, Pandas",Bachelors,10,Data Analyst,Data Scientist,20,Remote,Full-time
"ETL, Tableau, Excel, Power BI",Bachelors,4,Software Developer,BI Analyst,14,Remote,Internship
"Tableau, Excel, SQL, Python, Power BI",Masters,9,Data Analyst,Data Analyst,9,Bangalore,Internship
"React, Python, C++",Masters,0,Data Analyst,Software Developer,20,Mumbai,Internship
"TensorFlow, Scikit-learn, Python, Keras",Bachelors,1,ML Engineer,ML Engineer,14,Mumbai,Full-time
"Power BI, ETL, Excel, Tableau, SQL",Masters,1,Data Analyst,BI Analyst,12,Mumbai,Contract
"Pandas, Machine Learning, R",Bachelors,8,BI Analyst,Data Scientist,24,Mumbai,Contract
"Java, React, Python, C++, Git",Masters,10,Software Developer,Software Developer,10,Delhi,Contract
"Pandas, R, SQL, Python",Masters,10,ML Engineer,Data Scientist,12,Bangalore,Internship
"Python, Tableau, Excel, Power BI, SQL",Bachelors,0,Data Analyst,Data Analyst,14,Remote,Contract
"Python, Power BI, SQL, Tableau, Excel",Masters,10,Data Scientist,Data Analyst,7,Delhi,Internship
"Tableau, SQL, Excel, Power BI, Python",Bachelors,1,Software Developer,Data Analyst,5,Delhi,Internship
"Python, Scikit-learn, Docker, TensorFlow",Bachelors,7,Data Analyst,ML Engineer,23,Bangalore,Internship
"Java, React, Git",Masters,4,BI Analyst,Software Developer,8,Bangalore,Full-time
"Power BI, Excel, ETL, SQL",Masters,7,BI Analyst,BI Analyst,16,Remote,Full-time
"Tableau, Python, SQL, Excel",Bachelors,4,BI Analyst,Data Analyst,5,Bangalore,Internship
"C++, React, Python, Java, Git",Masters,4,BI Analyst,Software Developer,13,Mumbai,Contract
"Python, TensorFlow, Docker",Masters,9,ML Engineer,ML Engineer,22,Delhi,Internship
"Python, Machine Learning, R, Pandas",Bachelors,0,BI Analyst,Data Scientist,26,Mumbai,Contract
"Machine Learning, R, Python",Bachelors,2,BI Analyst,Data Scientist,11,Hyderabad,Contract
"TensorFlow, Python, Docker",Masters,1,BI Analyst,ML Engineer,15,Bangalore,Full-time
"ETL, Power BI, SQL, Excel, Tableau",Bachelors,10,BI Analyst,BI Analyst,14,Hyderabad,Internship
"Docker, TensorFlow, Scikit-learn",Bachelors,4,ML Engineer,ML Engineer,15,Hyderabad,Internship
"Python, TensorFlow, Docker, Scikit-learn, Keras",Bachelors,7,Data Analyst,ML Engineer,10,Remote,Internship
"Tableau, Power BI, SQL, Excel, ETL",Masters,6,ML Engineer,BI Analyst,7,Remote,Full-time
"Git, Java, Python, React",Bachelors,8,Data Analyst,Software Developer,19,Remote,Full-time
"Power BI, Excel, SQL, Tableau, ETL",Masters,10,BI Analyst,BI Analyst,15,Bangalore,Contract
"C++, Git, React, Python",Masters,7,Data Analyst,Software Developer,20,Hyderabad,Full-time
"SQL, ETL, Tableau, Power BI, Excel",Bachelors,10,Software Developer,BI Analyst,8,Hyderabad,Contract
"Tableau, Power BI, SQL",Bachelors,7,Data Analyst,BI Analyst,14,Hyderabad,Internship
"Git, C++, Python",Bachelors,4,ML Engineer,Software Developer,6,Bangalore,Internship
"Scikit-learn, Docker, TensorFlow",Bachelors,5,ML Engineer,ML Engineer,15,Remote,Full-time
"R, Python, Machine Learning, SQL, Pandas",Masters,7,Software Developer,Data Scientist,17,Hyderabad,Internship
"Power BI, ETL, Excel, SQL, Tableau",PhD,0,BI Analyst,BI Analyst,13,Mumbai,Contract
"Tableau, Excel, Python, SQL",Masters,6,ML Engineer,Data Analyst,7,Bangalore,Full-time
"Excel, Power BI, ETL, Tableau, SQL",PhD,7,ML Engineer,BI Analyst,18,Mumbai,Contract
"Python, Tableau, SQL, Excel, Power BI",Bachelors,4,Data Scientist,Data Analyst,13,Remote,Internship
"SQL, Python, Tableau, Excel, Power BI",Bachelors,0,Software Developer,Data Analyst,10,Remote,Contract
"Keras, TensorFlow, Docker",Bachelors,7,Data Scientist,ML Engineer,17,Remote,Contract
"SQL, ETL, Power BI, Excel",Bachelors,8,Data Scientist,BI Analyst,13,Delhi,Internship
"Python, R, Pandas, Machine Learning",Bachelors,2,Software Developer,Data Scientist,13,Hyderabad,Internship
"Docker, Python, TensorFlow",Bachelors,10,Data Scientist,ML Engineer,25,Bangalore,Internship
"Python, TensorFlow, Keras",Masters,6,Data Scientist,ML Engineer,20,Remote,Internship
"ETL, Power BI, Tableau, SQL",Masters,3,BI Analyst,BI Analyst,18,Hyderabad,Internship
"C++, React, Python, Git",Bachelors,2,ML Engineer,Software Developer,7,Remote,Full-time
"Excel, Power BI, SQL, ETL",Masters,5,ML Engineer,BI Analyst,7,Delhi,Full-time
"Tableau, Excel, Power BI, SQL",Bachelors,8,Data Scientist,Data Analyst,10,Hyderabad,Contract
"SQL, Tableau, ETL, Excel",Masters,1,Software Developer,BI Analyst,18,Mumbai,Internship
"Python, Excel, SQL, Power BI",Masters,4,ML Engineer,Data Analyst,5,Bangalore,Contract
"Tableau, Excel, ETL",Masters,0,Software Developer,BI Analyst,18,Delhi,Internship
"Python, React, C++",Bachelors,7,Data Scientist,Software Developer,17,Mumbai,Internship
"Scikit-learn, Docker, Python, Keras, TensorFlow",Bachelors,7,Data Scientist,ML Engineer,12,Bangalore,Full-time
"Excel, Tableau, SQL, Power BI, ETL",Bachelors,6,Software Developer,BI Analyst,18,Remote,Internship
"Tableau, Power BI, SQL, Excel, ETL",Bachelors,10,BI Analyst,BI Analyst,7,Hyderabad,Full-time
"Tableau, Python, SQL, Excel",Masters,9,BI Analyst,Data Analyst,9,Delhi,Contract
"SQL, R, Machine Learning",Bachelors,5,BI Analyst,Data Scientist,18,Delhi,Internship
"Python, React, Git",Masters,1,Data Scientist,Software Developer,18,Hyderabad,Contract
"Python, React, Git, C++",Bachelors,9,Software Developer,Software Developer,8,Delhi,Internship
"Power BI, SQL, Tableau, Excel",Masters,3,Data Scientist,BI Analyst,12,Bangalore,Full-time
"SQL, Power BI, Tableau, Excel",Bachelors,7,Data Scientist,Data Analyst,13,Bangalore,Contract
"Excel, Power BI, SQL",Bachelors,2,ML Engineer,Data Analyst,7,Bangalore,Full-time
"SQL, Power BI, ETL, Excel",Masters,8,Data Scientist,BI Analyst,9,Bangalore,Internship
"Python, Excel, SQL",PhD,2,Software Developer,Data Analyst,5,Remote,Internship
"React, C++, Python",Masters,1,Data Scientist,Software Developer,17,Hyderabad,Contract
"Python, Excel, SQL, Tableau, Power BI",Masters,2,BI Analyst,Data Analyst,15,Mumbai,Internship
"TensorFlow, Scikit-learn, Python, Docker, Keras",Bachelors,8,ML Engineer,ML Engineer,21,Bangalore,Full-time
"Java, Git, C++, Python",Masters,4,BI Analyst,Software Developer,10,Hyderabad,Full-time
"Excel, Power BI, SQL, Tableau, ETL",Bachelors,8,Data Analyst,BI Analyst,11,Bangalore,Contract
"Keras, TensorFlow, Scikit-learn",Bachelors,6,Data Analyst,ML Engineer,23,Remote,Contract
"Git, Python, C++, React, Java",Masters,2,BI Analyst,Software Developer,10,Hyderabad,Contract
"Python, Docker, Scikit-learn",Bachelors,0,ML Engineer,ML Engineer,20,Remote,Full-time
"Power BI, Tableau, Excel, Python, SQL",Masters,7,Data Scientist,Data Analyst,9,Remote,Full-time
"Python, Tableau, Excel, SQL",Masters,7,BI Analyst,Data Analyst,5,Hyderabad,Internship
"Excel, Tableau, Power BI",Masters,9,BI Analyst,BI Analyst,13,Remote,Full-time
"Tableau, ETL, Excel, Power BI",Masters,4,Software Developer,BI Analyst,5,Delhi,Internship
"SQL, Pandas, Python",Bachelors,5,BI Analyst,Data Scientist,17,Hyderabad,Contract
